RTC End Time Stamp,Zone Name,Zone PTID,RTC Zonal LBMP,RTC Zonal Losses,RTC Zonal Congestion,RTC Zonal Price Version
3/1/2024 3:15,LONGIL,61762,31.76,1.51,0,1
3/1/2024 3:15,MHK VL,61756,31.06,0.82,0,1
3/1/2024 3:15,MILLWD,61759,31.55,1.3,0,1
3/1/2024 3:15,N.Y.C.,61761,31.58,1.33,0,1
3/1/2024 3:15,NORTH,61755,30.85,0.6,0,1
3/1/2024 3:15,WEST,61752,28.28,-1.97,0,1
3/1/2024 3:30,CAPITL,61757,32.39,1.16,0,1
3/1/2024 3:30,CENTRL,61754,30.73,-0.5,0,1
3/1/2024 3:30,DUNWOD,61760,32.57,1.34,0,1
3/1/2024 3:30,GENESE,61753,29.51,-1.72,0,1
3/1/2024 3:30,HUD VL,61758,32.51,1.28,0,1
3/1/2024 3:30,LONGIL,61762,32.7,1.47,0,1
3/1/2024 3:30,MHK VL,61756,32.14,0.91,0,1
3/1/2024 3:30,MILLWD,61759,32.54,1.31,0,1
3/1/2024 3:30,N.Y.C.,61761,32.57,1.34,0,1
3/1/2024 3:30,NORTH,61755,31.76,0.53,0,1
3/1/2024 3:30,WEST,61752,29.26,-1.97,0,1
3/1/2024 3:45,CAPITL,61757,33.35,1.22,0,1
3/1/2024 3:45,CENTRL,61754,31.45,-0.68,0,1
3/1/2024 3:45,DUNWOD,61760,33.54,1.41,0,1
3/1/2024 3:45,GENESE,61753,30.33,-1.8,0,1
3/1/2024 3:45,HUD VL,61758,33.48,1.35,0,1
3/1/2024 3:45,LONGIL,61762,33.64,1.51,0,1
3/1/2024 3:45,MHK VL,61756,33.03,0.9,0,1
3/1/2024 3:45,MILLWD,61759,33.51,1.38,0,1
3/1/2024 3:45,N.Y.C.,61761,33.54,1.41,0,1
3/1/2024 3:45,NORTH,61755,32.71,0.58,0,1
3/1/2024 3:45,WEST,61752,30.04,-2.09,0,1
3/1/2024 4:00,CAPITL,61757,35.59,1.33,0,1
3/1/2024 4:00,CENTRL,61754,33.68,-0.58,0,1
3/1/2024 4:00,DUNWOD,61760,35.77,1.51,0,1
3/1/2024 4:00,GENESE,61753,32.51,-1.75,0,1
3/1/2024 4:00,HUD VL,61758,35.7,1.44,0,1
